mem,cpu,launcher,run,throughput_rps,lat_avg_ms,lat_p50_ms,lat_p90_ms,lat_p95_ms,lat_p99_ms,lat_max_ms,err_rate,mem_peak_b,mem_limit_b,mem_idle_b,mem_util_pct,cpu_usage_usec,gc_type,gc_count,gc_total_pause_ms,gc_max_pause_ms,startup_s,oom,not_ready
1g,1,java,1,2720.24,36.535,15.006,73.08,80.242,286.794,489.157,0,428544000,1073741824,645197824,39.9,97548478,Serial,173,15221.14,416.83,5.005,False,
1g,2,java,1,5783.66,17.045,8.919,18.75,25.927,246.974,423.155,0,430555136,1073741824,643186688,40.1,147695592,Serial,294,29243.12,399.16,2.348,False,
1g,1,java,2,2752.39,36.117,14.698,73.322,80.157,284.44,445.168,0,426655744,1073741824,647086080,39.7,97667672,Serial,175,15384.98,360.41,5.002,False,
1g,2,java,2,5748.84,17.148,9.022,19.153,26.811,248.736,448.048,0,431321088,1073741824,642420736,40.2,149650648,Serial,293,29216.51,400.02,2.208,False,
1g,1,java,3,2603.1,38.204,15.564,75.321,82.746,285.735,491.988,0,420958208,1073741824,652783616,39.2,97534105,Serial,175,15080.25,431.49,4.911,False,
1g,2,java,3,5740.28,17.182,8.981,18.755,25.879,247.987,453.17,0,443109376,1073741824,630632448,41.3,147685932,Serial,296,29293.12,420.68,2.267,False,
1g,1,java,4,2691.61,36.931,15.043,73.734,81.196,286.532,467.582,0,431943680,1073741824,641798144,40.2,97576701,Serial,172,15089.68,389.3,4.915,False,
1g,2,java,4,5632.09,17.517,9.255,19.69,26.861,256.049,487.65,0,437854208,1073741824,635887616,40.8,148663332,Serial,272,28849.26,407.71,2.476,False,
1g,1,java,5,2524.56,39.384,16.229,77.123,85.227,282.711,448.918,0,424640512,1073741824,649101312,39.5,97695062,Serial,173,14880.21,369.79,4.987,False,
1g,2,java,5,5749.54,17.137,9.014,19.06,26.361,255.594,424.835,0,435953664,1073741824,637788160,40.6,147730958,Serial,290,29166.44,406.29,2.334,False,
1g,1,jaz,1,2696.66,36.869,17.598,79.389,85.324,101.885,206.608,0,548753408,1073741824,524988416,51.1,98963097,G1,90,2376.11,101.95,5.425,False,
1g,2,jaz,1,7846.69,12.448,10.054,21.763,26.651,39.197,145.085,0,581791744,1073741824,491950080,54.2,168249338,G1,232,2660.51,51.47,2.511,False,
1g,1,jaz,2,2697.74,36.848,17.751,79.719,86.217,102.313,222.305,0,478687232,1073741824,595054592,44.6,98883294,G1,114,2897.2,118.56,5.279,False,
1g,2,jaz,2,7577.35,12.916,10.147,23.073,28.93,45.31,198.353,0,538812416,1073741824,534929408,50.2,171876117,G1,249,2813.7,86.0,2.608,False,
1g,1,jaz,3,2648.92,37.514,18.14,80.292,86.64,101.574,202.701,0,525754368,1073741824,547987456,49.0,98883641,G1,117,2469.52,93.32,5.207,False,
1g,2,jaz,3,8026.49,12.172,9.718,21.532,26.681,38.291,115.814,0,541564928,1073741824,532176896,50.4,167045037,G1,189,2573.74,51.15,2.443,False,
1g,1,jaz,4,2863.48,34.707,16.197,78.212,84.67,99.587,201.906,0,568352768,1073741824,505389056,52.9,99029596,G1,108,2533.11,106.21,4.962,False,
1g,2,jaz,4,7617.78,12.833,10.228,22.9,28.374,42.112,158.723,0,555270144,1073741824,518471680,51.7,168741195,G1,212,2805.11,57.92,2.369,False,
1g,1,jaz,5,2807.81,35.397,16.924,78.362,84.875,98.77,209.445,0,498520064,1073741824,575221760,46.4,98795098,G1,113,2581.69,98.09,5.031,False,
1g,2,jaz,5,8225.69,11.881,9.56,20.702,25.735,37.613,203.55,0,623562752,1073741824,450179072,58.1,165507308,G1,219,2819.28,59.54,2.445,False,
2g,2,java,1,7650.54,12.768,10.239,22.835,27.869,39.116,157.777,0,515284992,2147483648,1632198656,24.0,166106152,G1,203,2567.07,52.87,2.606,False,
2g,1,java,1,3658.27,27.101,13.846,69.327,74.388,84.819,183.01,0,453103616,2147483648,1694380032,21.1,97583885,Serial,100,1829.41,135.16,4.966,False,
2g,2,java,2,7829.9,12.472,9.983,22.142,27.611,40.547,265.32,0,544694272,2147483648,1602789376,25.4,166425269,G1,184,2516.28,73.61,2.405,False,
2g,1,java,2,3541.4,28.018,13.946,69.426,74.378,84.362,176.187,0,441311232,2147483648,1706172416,20.6,97322403,Serial,111,2061.18,126.75,4.824,False,
2g,2,java,3,7848.17,12.454,9.978,22.201,27.181,38.208,129.641,0,516141056,2147483648,1631342592,24.0,165695986,G1,210,2906.34,111.35,2.481,False,
2g,1,java,3,3344.59,29.677,14.708,71.12,75.891,86.634,190.337,0,430641152,2147483648,1716842496,20.1,97597553,Serial,107,1852.7,160.2,4.766,False,
2g,2,java,4,7754.97,12.614,10.164,22.381,27.244,38.992,170.067,0,511717376,2147483648,1635766272,23.8,166740916,G1,199,2560.31,60.97,2.402,False,
2g,1,java,4,3214.79,30.891,15.038,72.674,77.292,87.58,197.105,0,439353344,2147483648,1708130304,20.5,97124254,Serial,97,2180.85,157.22,4.6,False,
2g,2,java,5,7959.1,12.282,9.916,21.557,26.551,38.801,135.724,0,522244096,2147483648,1625239552,24.3,164876970,G1,185,2555.99,65.73,2.425,False,
2g,1,java,5,3463.38,28.664,14.146,70.233,74.945,85.02,166.624,0,461045760,2147483648,1686437888,21.5,97498814,Serial,97,2044.34,137.01,4.798,False,
2g,2,jaz,1,8280.78,11.794,9.411,20.681,26.107,37.141,140.997,0,823255040,2147483648,1324228608,38.3,165422865,G1,162,2368.84,86.68,2.439,False,
2g,1,jaz,1,2719.08,36.558,17.418,78.889,84.975,101.728,210.381,0,910639104,2147483648,1236844544,42.4,98867507,G1,90,2090.89,126.99,5.067,False,
2g,2,jaz,2,7867.77,12.352,9.892,22.05,27.326,38.424,147.055,0,786292736,2147483648,1361190912,36.6,167359172,G1,155,2066.27,71.21,2.45,False,
2g,1,jaz,2,2746.39,36.196,17.48,79.066,85.43,100.02,215.999,0,555520000,2147483648,1591963648,25.9,98661461,G1,116,2459.43,108.59,5.001,False,
2g,2,jaz,3,7915.31,12.333,9.77,21.867,27.518,40.069,136.881,0,840171520,2147483648,1307312128,39.1,165254595,G1,167,2295.8,72.98,2.439,False,
2g,1,jaz,3,2778.07,35.782,17.056,78.164,84.309,102.244,271.113,0,758456320,2147483648,1389027328,35.3,98887263,G1,90,2284.43,174.21,5.205,False,
2g,2,jaz,4,8176.77,11.934,9.572,20.967,26.088,37.095,272.547,0,581120000,2147483648,1566363648,27.1,166746869,G1,162,2362.42,88.69,2.493,False,
2g,1,jaz,4,2865.55,34.679,16.616,77.29,83.078,97.765,232.366,0,739385344,2147483648,1408098304,34.4,98737699,G1,84,2048.12,120.96,5.211,False,
2g,2,jaz,5,7872.07,12.396,9.933,21.65,27.377,39.901,195.5,0,750219264,2147483648,1397264384,34.9,169236964,G1,154,2319.87,81.81,2.47,False,
2g,1,jaz,5,2830.12,35.119,16.725,77.888,83.821,98.364,203.886,0,701853696,2147483648,1445629952,32.7,98910552,G1,84,1859.68,97.18,5.109,False,
